"simID" "estD" "error"
"177" 177 9.30375 -0.696249999999999
"178" 178 9.48875 -0.51125
"179" 179 9.80625 -0.19375
"180" 180 9.2775 -0.7225
"181" 181 9.38875 -0.61125
"182" 182 9.3125 -0.6875
"183" 183 9.45 -0.550000000000001
"184" 184 9.58875 -0.411250000000001
"185" 185 9.555 -0.445
"186" 186 9.335 -0.664999999999999
"187" 187 9.6875 -0.3125
"188" 188 9.51125 -0.48875
"189" 189 9.39375 -0.606249999999999
"190" 190 9.3875 -0.612500000000001
"191" 191 9.49 -0.51
"192" 192 9.50875 -0.491250000000001
"193" 193 9.62 -0.380000000000001
"194" 194 9.4475 -0.5525
"195" 195 9.39875 -0.60125
"196" 196 9.42875 -0.571249999999999
"197" 197 9.55 -0.449999999999999
"198" 198 9.4675 -0.532500000000001
"199" 199 9.36 -0.640000000000001
"200" 200 9.44375 -0.55625
"201" 201 9.18125 -0.81875
"202" 202 9.51625 -0.483750000000001
"203" 203 9.33 -0.67
"204" 204 9.225 -0.775
"205" 205 9.36 -0.640000000000001
"206" 206 9.58 -0.42
"207" 207 9.30875 -0.69125
"208" 208 9.3875 -0.612500000000001
"209" 209 9.46375 -0.536250000000001
"210" 210 9.38875 -0.61125
"211" 211 9.3775 -0.6225
"212" 212 9.41625 -0.58375
"213" 213 9.33125 -0.668749999999999
"214" 214 9.3725 -0.6275
"215" 215 9.27375 -0.72625
"216" 216 9.43375 -0.56625
"217" 217 9.47 -0.529999999999999
"218" 218 9.6275 -0.3725
"219" 219 9.50125 -0.498749999999999
"220" 220 9.42875 -0.571249999999999
"221" 221 9.405 -0.595000000000001
"222" 222 9.4575 -0.5425
"223" 223 9.40375 -0.59625
"224" 224 9.50125 -0.498749999999999
"225" 225 9.55875 -0.44125
"226" 226 9.28375 -0.71625
"227" 227 9.30375 -0.696249999999999
"228" 228 9.3825 -0.6175
"229" 229 9.45125 -0.54875
"230" 230 9.4225 -0.577500000000001
"231" 231 9.335 -0.664999999999999
"232" 232 9.4975 -0.5025
"233" 233 9.53 -0.470000000000001
"234" 234 9.50625 -0.49375
"235" 235 9.555 -0.445
"236" 236 9.46625 -0.53375
"237" 237 9.36125 -0.63875
"238" 238 9.40375 -0.59625
"239" 239 9.33375 -0.66625
"240" 240 9.4725 -0.5275
"241" 241 9.25375 -0.74625
"242" 242 9.26625 -0.733750000000001
"243" 243 9.55 -0.449999999999999
"244" 244 9.4075 -0.592499999999999
"245" 245 9.40375 -0.59625
"246" 246 9.41625 -0.58375
"247" 247 9.5475 -0.452500000000001
"248" 248 9.54125 -0.45875
"249" 249 9.4475 -0.5525
"250" 250 9.27625 -0.723750000000001
"251" 251 9.41125 -0.588749999999999
"252" 252 9.3775 -0.6225
"253" 253 9.24375 -0.75625
"254" 254 9.40875 -0.59125
"255" 255 9.3675 -0.6325
"256" 256 9.4 -0.6
"257" 257 9.51375 -0.48625
"258" 258 9.52625 -0.473750000000001
"259" 259 9.28625 -0.713749999999999
"260" 260 9.48625 -0.51375
"261" 261 9.3225 -0.6775
"262" 262 9.405 -0.595000000000001
"263" 263 9.3925 -0.6075
"264" 264 9.31625 -0.68375
"265" 265 9.47625 -0.52375
"266" 266 9.5 -0.5
"267" 267 9.50125 -0.498749999999999
"268" 268 9.3525 -0.647500000000001
"269" 269 9.265 -0.734999999999999
"270" 270 9.41 -0.59
"271" 271 9.305 -0.695
"272" 272 9.42375 -0.57625
"273" 273 9.5675 -0.432499999999999
"274" 274 9.40375 -0.59625
"275" 275 9.34 -0.66
"276" 276 9.25 -0.75
"277" 277 9.4825 -0.5175
"278" 278 9.4425 -0.557499999999999
"279" 279 9.375 -0.625
"280" 280 9.28 -0.720000000000001
"281" 281 9.31 -0.69
"282" 282 9.4475 -0.5525
"283" 283 9.50125 -0.498749999999999
"284" 284 9.4125 -0.5875
"285" 285 9.25375 -0.74625
"286" 286 9.36875 -0.63125
"287" 287 9.545 -0.455
"288" 288 9.35375 -0.64625
"289" 289 9.24375 -0.75625
"290" 290 9.48125 -0.518750000000001
"291" 291 9.32125 -0.678750000000001
"292" 292 9.555 -0.445
"293" 293 9.26625 -0.733750000000001
"294" 294 9.375 -0.625
"295" 295 9.35375 -0.64625
"296" 296 9.5125 -0.487500000000001
"297" 297 9.40375 -0.59625
"298" 298 9.475 -0.525
"299" 299 9.38625 -0.61375
"300" 300 9.46875 -0.53125
"301" 301 9.30375 -0.696249999999999
