"round" "dhat_doubleObs" "sed_double" "dhat_singleObs" "sed_single" "probOverall" "probObs1" "probObs2" "sed_double_mod"
"69" 69 5.00476534296029 2.42549751199554 2.77551020408163 1.22968709936675 0.991055456171735 0.920265780730897 0.887820512820513 0.0111948797652312
"70" 70 6.5764153275649 2.78804439624734 4.73469387755102 1.59952573493025 0.991421568627451 0.927752293577982 0.881263616557734 0.0116233936504941
"71" 71 3.98384364820847 1.9415419811493 3.63265306122449 1.4059802659076 0.983974358974359 0.872159090909091 0.874643874643875 0.0131675426135428
"72" 72 8.41042895442359 2.98317519562168 7.79591836734694 1.95918810231926 0.99400399733511 0.940434919634415 0.899336949969861 0.0110323088212236
"73" 73 4.06852248394004 2.09769063288296 4.93877551020408 1.66762085694096 0.983157894736842 0.847549909255898 0.889523809523809 0.013906007861595
"74" 74 12.1296932515337 3.29004928465932 6.87755102040816 1.86642202290079 0.992605480643758 0.927453769559033 0.898071625344353 0.0159808301303988
"75" 75 7.32152880775813 2.68513686377585 6.08163265306122 1.82174057427994 0.994327850255247 0.948080043266631 0.890752032520325 0.00963891219586037
"76" 76 1.36 0.941417371130715 3.22448979591837 1.18280815192227 NA NA NA NA
"77" 77 9.36792332268371 2.62314839788109 6.85714285714286 1.71155536536435 0.986344537815126 0.902537485582468 0.85989010989011 0.0184729433527334
"78" 78 4.57142857142857 2.12179477097056 3.16326530612245 1.28052754686438 0.98 0.844827586206897 0.871111111111111 0.0162798165519442
"79" 79 5.22727272727273 2.12928462647026 4.89795918367347 1.47376285543059 0.994782608695652 0.969491525423729 0.828985507246377 0.00849631084949876
"80" 80 3.35368421052632 1.45806597118269 4.20408163265306 1.26940033241795 0.966101694915254 0.826086956521739 0.805084745762712 0.0241946237318849
"81" 81 7.57756150902132 2.98585545873298 7.6734693877551 2.10772545519442 0.992403689636462 0.925607287449393 0.897889052528228 0.0114894225839211
"82" 82 9.00196206671027 3.14601947905871 7.6734693877551 1.93899032107508 0.986451612903226 0.880760368663594 0.886376811594203 0.0179587357224864
"83" 83 3.23368421052632 1.99050599783669 2.87755102040816 1.23636531606963 0.989583333333333 0.913461538461538 0.87962962962963 0.00939444923177253
"84" 84 3.33473684210526 1.88969467480869 3.38775510204082 1.05495926611992 0.971590909090909 0.791666666666667 0.863636363636364 0.0179071336012615
"85" 85 2.68 1.12652859114479 2.95918367346939 1.08482074120044 NA NA NA NA
"86" 86 6.68416403785489 2.59181709580758 6.02040816326531 1.76403261051234 0.981424148606811 0.83421052631579 0.887955182072829 0.0188054209366118
"87" 87 8.12277992277992 2.85485651310162 6.10204081632653 1.79408630269837 0.989808917197452 0.941818181818182 0.82484076433121 0.0150505847148023
"88" 88 6.42765957446809 2.86617686482038 4.22448979591837 1.4199936841512 0.989473684210526 0.899521531100478 0.895238095238095 0.0139717871996642
"89" 89 6.5154874041621 2.52780859312469 6.24489795918367 1.70446856986288 0.994553376906318 0.959033613445378 0.8670465337132 0.00897424344456337
"90" 90 0.48 0.48 2.26530612244898 1.15939504157058 NA NA NA NA
"91" 91 2.22167487684729 1.29586771552008 4.28571428571429 1.37302734191008 0.990243902439024 0.944186046511628 0.82520325203252 0.00752126499310685
"92" 92 6.88429985855728 2.51473686461476 4.81632653061224 1.49735409195363 0.981944444444444 0.900636942675159 0.818287037037037 0.0253153091610501
"93" 93 10.0135052377115 2.93313730733654 8.95918367346939 1.9552735215156 0.994656692492653 0.946605644546148 0.899927483683829 0.0114110857555999
"94" 94 2.84 1.82362276800878 4.87755102040816 1.70024824444524 1 1 0.888888888888889 NA
"95" 95 4.16 1.47499152539938 6.28571428571429 1.61413821492174 NA NA NA NA
"96" 96 9.5871714922049 2.82368170218707 6.40816326530612 1.61674863930977 0.984649122807018 0.85933014354067 0.890873015873016 0.0198642413755459
"97" 97 12.3868841761827 3.80557436191169 10.3673469387755 2.32439259082559 0.997829625610418 0.977671451355662 0.90279823269514 0.00771559141865069
"98" 98 8.26294487090021 2.88202440878331 6.89795918367347 1.79763755066775 0.992382271468144 0.92541168873103 0.897869674185464 0.0127137384033598
"99" 99 4.43203883495146 1.92177072130113 4.42857142857143 1.4597781958066 0.992771084337349 0.958139534883721 0.827309236947791 0.00886124965983441
"100" 100 3.84038834951456 1.92355843132273 3.55102040816327 1.24507916602447 0.968652037617555 0.789272030651341 0.851239669421488 0.0209379715112654
