"simID","p","dhat"
1761,0.83,0.157692307692308
1762,0.83,0.161923076923077
1763,0.83,0.177179487179487
1764,0.83,0.163205128205128
1765,0.83,0.17025641025641
1766,0.83,0.160769230769231
1767,0.83,0.164102564102564
1768,0.83,0.162307692307692
1769,0.83,0.166025641025641
1770,0.83,0.167948717948718
1771,0.83,0.168333333333333
1772,0.83,0.159358974358974
1773,0.83,0.171410256410256
1774,0.83,0.165512820512821
1775,0.83,0.172435897435897
1776,0.83,0.158846153846154
1777,0.83,0.161025641025641
1778,0.83,0.162948717948718
1779,0.83,0.164230769230769
1780,0.83,0.166025641025641
1781,0.83,0.158717948717949
1782,0.83,0.158717948717949
1783,0.83,0.168717948717949
1784,0.83,0.168717948717949
1785,0.83,0.165128205128205
1786,0.83,0.169230769230769
1787,0.83,0.163974358974359
1788,0.83,0.176794871794872
1789,0.83,0.16974358974359
1790,0.83,0.170384615384615
1791,0.83,0.162307692307692
1792,0.83,0.175641025641026
1793,0.83,0.165512820512821
1794,0.83,0.167948717948718
1795,0.83,0.172564102564103
1796,0.83,0.164102564102564
1797,0.83,0.167435897435897
1798,0.83,0.159615384615385
1799,0.83,0.168717948717949
1800,0.83,0.171282051282051
1801,0.83,0.167564102564103
1802,0.83,0.162692307692308
1803,0.83,0.173076923076923
1804,0.83,0.173589743589744
1805,0.83,0.162435897435897
1806,0.83,0.164358974358974
1807,0.83,0.160512820512821
1808,0.83,0.171153846153846
1809,0.83,0.176538461538462
1810,0.83,0.158717948717949
1811,0.83,0.171794871794872
1812,0.83,0.166666666666667
1813,0.83,0.163205128205128
1814,0.83,0.168076923076923
1815,0.83,0.167948717948718
1816,0.83,0.158076923076923
1817,0.83,0.165897435897436
1818,0.83,0.156794871794872
1819,0.83,0.168205128205128
1820,0.83,0.163846153846154
1821,0.83,0.166410256410256
1822,0.83,0.155897435897436
1823,0.83,0.175641025641026
1824,0.83,0.171282051282051
1825,0.83,0.164358974358974
1826,0.83,0.172051282051282
1827,0.83,0.166025641025641
1828,0.83,0.162820512820513
1829,0.83,0.162692307692308
1830,0.83,0.164615384615385
1831,0.83,0.164230769230769
1832,0.83,0.166153846153846
1833,0.83,0.161025641025641
1834,0.83,0.161410256410256
1835,0.83,0.163205128205128
1836,0.83,0.158461538461538
1837,0.83,0.159871794871795
1838,0.83,0.167435897435897
1839,0.83,0.170769230769231
1840,0.83,0.168717948717949
1841,0.83,0.165384615384615
1842,0.83,0.17
1843,0.83,0.157692307692308
1844,0.83,0.164615384615385
1845,0.83,0.160769230769231
1846,0.83,0.169615384615385
1847,0.83,0.163461538461538
1848,0.83,0.165384615384615
1849,0.83,0.171666666666667
1850,0.83,0.165512820512821
1851,0.83,0.163461538461538
1852,0.83,0.165128205128205
1853,0.83,0.159871794871795
1854,0.83,0.166794871794872
1855,0.83,0.164871794871795
1856,0.83,0.175641025641026
1857,0.83,0.164102564102564
1858,0.83,0.168076923076923
1859,0.83,0.166410256410256
1860,0.83,0.168589743589744
1861,0.83,0.155641025641026
1862,0.83,0.165641025641026
1863,0.83,0.159358974358974
1864,0.83,0.163717948717949
1865,0.83,0.175512820512821
1866,0.83,0.162179487179487
1867,0.83,0.162307692307692
1868,0.83,0.167435897435897
1869,0.83,0.162820512820513
1870,0.83,0.161794871794872
1871,0.83,0.164230769230769
1872,0.83,0.160641025641026
1873,0.83,0.163846153846154
1874,0.83,0.165897435897436
1875,0.83,0.168589743589744
1876,0.83,0.157564102564103
1877,0.83,0.15974358974359
