"method" "idx" "estD" "seD" "cvD" "p" "detfunc"
"76" "LTS" 76 0.202907475125455 0.0715465664162039 0.352606853798597 0.833423788660862 "half-normal key function"
"77" "LTS" 77 0.142086941412622 0.0439860232732663 0.309571188146914 0.974768849178844 "half-normal key function"
"78" "LTS" 78 0.0789844840395992 0.0157537610282488 0.199453870210136 0.783932542140066 "uniform key function with cosine(1) adjustments"
"79" "LTS" 79 0.175406841322035 0.0632159975031224 0.360396419128615 0.968837121016314 "half-normal key function"
"80" "LTS" 80 0.12836705596666 0.0500137602826983 0.389615231930599 0.945680071514579 "half-normal key function"
"81" "LTS" 81 0.0795303880320063 0.0294011696233616 0.369684724932178 0.59994363388241 "half-normal key function with cosine(2,3) adjustments"
"82" "LTS" 82 0.0937780172652134 0.0240712156730078 0.256682923940822 0.618565698914826 "hazard-rate key function with cosine(2,3) adjustments"
"83" "LTS" 83 0.157470988994225 0.0572484260010529 0.363549034439306 0.801817004345464 "half-normal key function"
"84" "LTS" 84 0.145401891753255 0.0350008641295754 0.240718079438549 0.522362529704154 "uniform key function with cosine(1,2) adjustments"
"85" "LTS" 85 0.121164090439148 0.0705952140831689 0.582641390095886 0.739648949707737 "half-normal key function"
"86" "LTS" 86 0.15554146157988 0.0575549841866783 0.370029853147036 0.803416542856365 "half-normal key function"
"87" "LTS" 87 0.147584882963747 0.0305419842116471 0.206945207383803 0.549824830997535 "uniform key function with cosine(1,2) adjustments"
"88" "LTS" 88 0.12773643844651 0.029641952182711 0.232055571168314 0.597144278179282 "uniform key function with cosine(1) adjustments"
"89" "LTS" 89 0.179419165683995 0.0767750617771277 0.427908922017558 0.843030524396349 "hazard-rate key function"
"90" "LTS" 90 0.129760800156358 0.0556647695843559 0.428979857686462 0.87398223809886 "half-normal key function"
"91" "LTS" 91 0.142205352196691 0.0197906363368126 0.139169419653342 0.659641721526681 "uniform key function with cosine(1,2) adjustments"
"92" "LTS" 92 0.15218995697576 0.0597617054091421 0.39267837771096 0.925048770153367 "half-normal key function"
"93" "LTS" 93 0.163205575287024 0.072982064530857 0.447178746207084 0.698068983241765 "uniform key function with cosine(1) adjustments"
