"round" "dhat_doubleObs" "sed_double" "dhat_singleObs" "sed_single." "probOverall" "probObs1" "probObs2" "sed_double_mod"
"30" 30 0.207530728027252 0.0699901169679085 0.153370439084725 0.0410540681520675 0.994949494949495 0.951690821256039 0.895454545454546 0.000317048896300182
"31" 31 0.209643129979264 0.0650075489373219 0.169449598021027 0.042386820592737 0.996376811594203 0.954861111111111 0.919732441471572 0.000262534163206287
"32" 32 0.202465421966452 0.0698219169965886 0.158317872603587 0.0442011670392459 0.996124031007752 0.931159420289855 0.943696450428397 0.00026790869521614
"33" 33 0.259928549733146 0.0786664907348401 0.218923933209647 0.0484681956083535 0.997596153846154 0.95292766934558 0.948932926829268 0.000233067961491219
"34" 34 0.0936374549819928 0.0387075540909959 0.181818181818182 0.0420366715675743 1 1 0.918918918918919 NA
"35" 35 0.301818199931802 0.074234709655988 0.217687074829932 0.0450868387012958 0.99437359339835 0.939737681673166 0.906634746922025 0.00041244229731935
"36" 36 0.156062424969988 0.0573998003540817 0.185528756957328 0.0418793295640502 1 0.932203389830508 1 NA
"37" 37 0.149995876213081 0.0592901412437667 0.144712430426716 0.0368374295411506 0.992424242424242 0.909722222222222 0.916083916083916 0.000340242321558992
"38" 38 0.168764601276195 0.058521999208362 0.128633271490414 0.0357357739374164 0.995867768595041 0.912878787878788 0.952569169960474 0.000254669675925035
"39" 39 0.137729213090987 0.057699152346244 0.110080395794682 0.0336968614928159 0.993650793650794 0.93993993993994 0.894285714285714 0.000294690602895817
"40" 40 0.111545865228885 0.0390549024386855 0.110080395794681 0.0318970773883041 0.990123456790123 0.92183908045977 0.873638344226579 0.000344619726069134
"41" 41 0.214442329470159 0.0629276683635034 0.131106988249845 0.0353783410241368 0.996470588235294 0.915675675675676 0.958144796380091 0.000261942236936088
"42" 42 0.105642256902761 0.0486839650276436 0.138528138528139 0.0415973866147047 1 1 0.967741935483871 NA
"43" 43 0.216602153988087 0.0689120368854819 0.168212739641311 0.0402270883094471 0.997619047619048 0.963218390804598 0.935267857142857 0.000211583292141963
"44" 44 0.286522148916117 0.0742295647956532 0.222634508348794 0.0458118205755653 0.99718045112782 0.946476360392507 0.947321428571429 0.000266012287180209
"45" 45 0.227146342407931 0.0605852879550129 0.153370439084725 0.0357120563753157 0.993589743589744 0.917159763313609 0.922619047619048 0.00037850598600455
"46" 46 0.199279711884754 0.0611884576542704 0.17687074829932 0.0425431155267376 1 1 0.941176470588235 NA
"47" 47 0.255503776313675 0.0856516662139574 0.217687074829932 0.0512465059830962 0.996078431372549 0.940740740740741 0.933823529411765 0.000330275676284241
"48" 48 0.185304891187244 0.0607560874621743 0.183055040197897 0.0403112503808262 0.997674418604651 0.965491372843211 0.932608695652174 0.000195268575456436
"49" 49 0.0991995253699935 0.0406194080179449 0.110080395794682 0.0323804050681293 0.992337164750958 0.893103448275862 0.92831541218638 0.000287217570497026
"50" 50 0.158463385354142 0.0543789539980726 0.150896722325294 0.0363042367695902 1 0.942857142857143 1 NA
"51" 51 0.168067226890756 0.0589892251240297 0.131106988249845 0.0367565190176419 1 0.923076923076923 1 NA
"52" 52 0.208883553421369 0.063381661096842 0.205318491032777 0.0443192171163306 1 0.954545454545455 1 NA
"53" 53 0.118595825426945 0.0484156263799596 0.15460729746444 0.0425265157099389 0.992 0.918518518518519 0.901818181818182 0.000311230152534547
"54" 54 0.139255702280912 0.0489273505779423 0.106369820655535 0.0325944813468285 1 0.956521739130435 1 NA
"55" 55 0.161184155570777 0.0605560037241764 0.148423005565863 0.0391321470718439 0.998015873015873 0.980506822612086 0.898214285714286 0.000170465733231361
"56" 56 0.180694576880017 0.0637499533834583 0.144712430426716 0.0382848666944472 0.996554694229113 0.911741528762805 0.960963455149502 0.000243215184153159
"57" 57 0.101103626829322 0.0450624205355972 0.162028447742733 0.0407874851430859 0.997395833333333 0.938725490196078 0.9575 0.000151505073077364
"58" 58 0.137578841060234 0.0569024972584466 0.169449598021027 0.0434008110759552 0.994736842105263 0.921951219512195 0.932565789473684 0.00027135346821027
"59" 59 0.224563636488203 0.0655202944991382 0.188002473716759 0.0418579685806142 0.994325346784363 0.947716346153846 0.891464104013567 0.000354058024178772
"60" 60 0.235961934442651 0.0714851500389767 0.179344465058751 0.042199841097708 0.997169811320755 0.94375 0.949685534591195 0.00024261988611439
"61" 61 0.151260504201681 0.0558011042871227 0.134817563388992 0.0382725696935696 1 0.918918918918919 1 NA
"62" 62 0.256792546001299 0.060709459980852 0.174397031539889 0.0354663779738475 0.991079393398751 0.928153717627402 0.875837603468664 0.00049063925905839
"63" 63 0.174159215925176 0.0587995903124775 0.12987012987013 0.0345384642547282 0.992592592592593 0.930555555555556 0.893333333333333 0.000363425441020356
"64" 64 0.134453781512605 0.0635399382946626 0.116264687693259 0.0360818404197273 1 0.943396226415094 1 NA
"65" 65 0.224007287802581 0.0645295926881465 0.175633889919604 0.0376897730524169 0.996794871794872 0.944331983805668 0.942424242424242 0.000253568093347145
"66" 66 0.132052821128451 0.0546049562545582 0.137291280148423 0.0367260915630287 1 0.944444444444444 1 NA
