"method" "idx" "estD" "seD" "cvD"
"59" "LTS" 59 7.60274598043563 3.16750947422192 0.416627029546031
"60" "LTS" 60 1.93250506244752 1.80870676775825 0.935938954523366
"61" "LTS" 61 5.1789158062603 3.06553593133334 0.591926195754661
"62" "LTS" 62 2.42635153278286 1.6415170092868 0.676537174068958
"63" "LTS" 63 3.37091857106781 2.06817604941208 0.613534858766091
"64" "LTS" 64 3.2005664873034 1.95155809815566 0.609753962586766
"65" "LTS" 65 5.12723026593508 3.0661112662688 0.598005376633814
"66" "LTS" 66 4.20502550990417 2.69616982376103 0.641177994618747
"67" "LTS" 67 6.17825986382991 3.05727700499129 0.494844353001377
"68" "LTS" 68 2.66106910003179 1.95770205752057 0.735682533571632
"69" "LTS" 69 5.66003583496153 2.93385800794173 0.51834618958056
"70" "LTS" 70 4.72519891933352 2.82181820944031 0.597185061965248
"71" "LTS" 71 1.75544428571617 1.16574643346479 0.664074868653095
"72" "LTS" 72 4.32799621306531 2.54545968979984 0.588138150887385
"73" "LTS" 73 5.29711484796056 2.93553745047669 0.554176666871193
"74" "LTS" 74 5.27823840357436 2.58130569186544 0.489046817233078
"75" "LTS" 75 3.22487975150346 2.56188069580141 0.794411231800828
"76" "LTS" 76 3.9309448642419 2.72803407574893 0.693989402030201
"77" "LTS" 77 2.60514647184278 1.94798225321955 0.747743850211086
"78" "LTS" 78 2.70467586793572 1.90150960910504 0.703045282300802
"79" "LTS" 79 0.912483398461965 0.761218836639623 0.834227601206437
"80" "LTS" 80 4.25867573471612 2.50850586034335 0.589034248344941
"81" "LTS" 81 4.72519868740389 2.82181807308706 0.597185062420606
"82" "LTS" 82 0.18315018674201 0.135829713567854 0.741630221536095
"83" "LTS" 83 8.47739511719662 3.22251788491946 0.380130669901476
"84" "LTS" 84 4.31566462904082 2.96310501030048 0.686592973504303
"85" "LTS" 85 3.9590605626097 2.63535548324757 0.665651722566835
"86" "LTS" 86 2.83313682705035 2.21271729771801 0.781013213548788
"87" "LTS" 87 3.98223833256303 2.72908659553761 0.685314731974146
"88" "LTS" 88 2.28776238145886 1.72267475775061 0.752995491014279
"89" "LTS" 89 3.698393473431 2.31633086582382 0.626307309501864
"90" "LTS" 90 4.86762346264854 2.72011092225638 0.55881703733434
"91" "LTS" 91 3.47564440223009 2.03728646668737 0.586160789458258
"92" "LTS" 92 5.19137500632066 2.53344793466019 0.488010966569675
"93" "LTS" 93 5.70861549959963 2.79424578529658 0.489478716072673
"94" "LTS" 94 2.98495560895099 2.23629569948786 0.749188930241335
"95" "LTS" 95 2.66981589737076 1.52931175679137 0.572815435812424
"96" "LTS" 96 3.43944437725732 1.9010438742832 0.552718307309603
"97" "LTS" 97 4.33477007218485 2.58859886153612 0.59717097295345
"98" "LTS" 98 2.32325546159169 1.63184248719205 0.702394770687014
"99" "LTS" 99 4.31566473096707 2.96310507769339 0.68659297290441
"100" "LTS" 100 2.77007385246498 1.91175510224693 0.690145896487824
"101" "Opt" 1 3.2449937964886 1.69085292592311 0.52106507191255
"102" "Opt" 2 4.80227905956645 2.1308089041739 0.443707847408241
"103" "Opt" 3 3.55646506153877 1.79085111073177 0.503548068023738
"104" "Opt" 4 4.83896922536004 2.1075594205682 0.435538917983383
"105" "Opt" 5 4.01595088545403 1.82023616640361 0.453251600510504
"106" "Opt" 6 4.97138797231379 2.37001558426277 0.476731165916169
"107" "Opt" 7 4.55134728420092 2.08610506648628 0.458348909943166
"108" "Opt" 8 5.51569176522198 2.42283865151962 0.439262880278465
"109" "Opt" 9 3.83581906296577 2.26808590057136 0.59129115929095
