simID,n_obs,est_D,est_sigm,est_p,ER,se.ER,error
93,705,4.483670308,1.28362027,0.64270937,11.52678767,0.334869994,0.459264156
94,679,3.974714498,1.252385015,0.698269416,11.10168629,0.467100285,-0.049691655
95,628,3.952105537,1.119248883,0.64951666,10.26783356,0.385672009,-0.072300616
96,680,4.185454703,1.156635572,0.664087723,11.11803634,0.41295815,0.16104855
97,665,4.0611,1.170535235,0.669325154,10.87278554,0.335145154,0.036693848
98,701,4.209484527,1.201604673,0.6806883,11.46138746,0.32881428,0.185078375
99,631,3.796956494,1.19770114,0.679286406,10.31688372,0.423635162,-0.227449659
100,649,3.468400603,1.327817303,0.764847108,10.61118468,0.368473966,-0.556005549
101,655,3.624515487,1.384401628,0.738670109,10.709285,0.363638999,-0.399890666
102,661,3.897994826,1.237198693,0.693137485,10.80738532,0.529793584,-0.126411327
103,630,3.725765054,1.231455584,0.69116903,10.30053367,0.466814044,-0.298641099
104,701,4.238019971,1.18891777,0.676105088,11.46138746,0.372207586,0.213613818
105,686,4.038236897,1.240820136,0.694370894,11.21613666,0.40986613,0.013830744
106,643,3.956719454,1.157075859,0.664255104,10.51308436,0.466033394,-0.067686699
107,651,4.021517982,1.15033878,0.661683277,10.64388479,0.420139222,-0.002888171
108,707,4.536302649,1.250864602,0.637054484,11.55948778,0.386209415,0.511896496
109,703,4.301856451,1.166920919,0.667972519,11.49408757,0.411179717,0.277450298
110,677,4.011155003,1.227741069,0.689887711,11.06898618,0.355642013,-0.01325115
111,636,3.889390324,1.168054441,0.66839743,10.39863399,0.372145665,-0.135015829
112,646,3.814143002,1.234751675,0.692300637,10.56213452,0.334029355,-0.210263151
113,674,4.206198243,1.133058954,0.654981968,11.01993602,0.43791881,0.18179209
114,674,4.036549358,1.20670696,0.682509679,11.01993602,0.446672217,0.012143205
115,686,4.294806087,1.127742493,0.652889585,11.21613666,0.3603157,0.270399934
116,708,4.141279275,1.106481087,0.69880809,11.57583784,0.391130687,0.116873122
117,661,4.243801191,1.240834104,0.63665714,10.80738532,0.368473966,0.219395039
118,677,4.030244566,1.218351532,0.686620005,11.06898618,0.364853748,0.005838413
119,687,4.106968644,1.210189157,0.683745585,11.23248671,0.357709566,0.082562491
120,648,3.997774615,1.152591488,0.662545769,10.59483463,0.395350126,-0.026631538
121,652,3.946164245,1.186859655,0.675354229,10.66023484,0.487069238,-0.078241907
122,651,3.877930025,1.217105921,0.686183397,10.64388479,0.362165742,-0.146476128
123,666,4.255801526,1.236042842,0.639664205,10.88913559,0.44273378,0.231395373
124,652,3.666712761,1.343160432,0.726825057,10.66023484,0.307474556,-0.357693392
125,674,4.065217885,1.19329869,0.677696518,11.01993602,0.370158755,0.040811732
126,655,4.197755717,1.090441798,0.63779825,10.709285,0.39147227,0.173349564
127,725,4.382247222,1.189285862,0.676239161,11.85378874,0.429856213,0.357841069
128,720,4.019994932,1.361213643,0.732092868,11.77203848,0.443108396,-0.004411221
